"sup_cod_id","wk_type","pdn_date","pdn_unit_price","pdn_quantity","pdn_amount_paid","pdn_total_amount","pdn_num_week","pdn_year","pdn_month","pdn_day"
SUP0100080,Productor,"2021-12-23",0.4,"34",0,13.600000000000001,51,2021,12,23
SUP0110083,Productor,"2021-12-23",0.6,"394",0,236.39999999999998,51,2021,12,23
SUP0120053,Productor,"2021-12-23",0.58,"141",0,81.78,51,2021,12,23
SUP0170068,Productor,"2021-12-23",0.56,"276",0,154.56,51,2021,12,23
SUP0170068,Productor,"2021-12-23",0.04,"276",0,11.040000000000001,51,2021,12,23
SUP0020009,Productor,"2021-12-24",0.44,"117",0,51.48,51,2021,12,24
SUP0040040,Transporte,"2021-12-24",0.04,"251",0,10.040000000000001,51,2021,12,24
SUP0070043,Productor,"2021-12-24",0.4,"40",0,16.0,51,2021,12,24
SUP0080045,Productor,"2021-12-24",0.4,"44",0,17.6,51,2021,12,24
SUP0140044,Productor,"2021-12-24",0.46,"77",0,35.42,51,2021,12,24
SUP0090081,Productor,"2021-12-24",0.4,"52",0,20.8,51,2021,12,24
SUP0100080,Productor,"2021-12-24",0.4,"36",0,14.4,51,2021,12,24
SUP0110083,Productor,"2021-12-24",0.6,"394",0,236.39999999999998,51,2021,12,24
SUP0120053,Productor,"2021-12-24",0.58,"153",0,88.74,51,2021,12,24
SUP0170068,Productor,"2021-12-24",0.56,"279",0,156.24,51,2021,12,24
SUP0170068,Productor,"2021-12-24",0.04,"279",0,11.16,51,2021,12,24
SUP0230091,Productor,"2021-12-24",2.25,"18",0,40.5,51,2021,12,24
SUP0020009,Productor,"2021-12-25",0.44,"120",0,52.8,51,2021,12,25
SUP0040040,Transporte,"2021-12-25",0.04,"268",0,10.72,51,2021,12,25
SUP0070043,Productor,"2021-12-25",0.4,"40",0,16.0,51,2021,12,25
SUP0080045,Productor,"2021-12-25",0.4,"44",0,17.6,51,2021,12,25
SUP0140044,Productor,"2021-12-25",0.46,"69",0,31.740000000000002,51,2021,12,25
SUP0090081,Productor,"2021-12-25",0.4,"56",0,22.400000000000002,51,2021,12,25
SUP0100080,Productor,"2021-12-25",0.4,"34",0,13.600000000000001,51,2021,12,25
SUP0110083,Productor,"2021-12-25",0.6,"394",0,236.39999999999998,51,2021,12,25
SUP0120053,Productor,"2021-12-25",0.58,"153",0,88.74,51,2021,12,25
SUP0170068,Productor,"2021-12-25",0.56,"288",0,161.28000000000003,51,2021,12,25
SUP0170068,Productor,"2021-12-25",0.04,"288",0,11.52,51,2021,12,25
SUP0230091,Productor,"2021-12-25",2.25,"27",0,60.75,51,2021,12,25
SUP0020009,Productor,"2021-12-26",0.44,"119",0,52.36,51,2021,12,26
SUP0040040,Transporte,"2021-12-26",0.04,"167",0,6.68,51,2021,12,26
SUP0070043,Productor,"2021-12-26",0.4,"40",0,16.0,51,2021,12,26
SUP0080045,Productor,"2021-12-26",0.4,"46",0,18.400000000000002,51,2021,12,26
SUP0140044,Productor,"2021-12-26",0.46,"74",0,34.04,51,2021,12,26
SUP0090081,Productor,"2021-12-26",0.4,"22",0,8.8,51,2021,12,26
SUP0100080,Productor,"2021-12-26",0.4,"33",0,13.200000000000001,51,2021,12,26
SUP0110083,Productor,"2021-12-26",0.6,"383",0,229.79999999999998,51,2021,12,26
SUP0120053,Productor,"2021-12-26",0.58,"122",0,70.75999999999999,51,2021,12,26
SUP0170068,Productor,"2021-12-26",0.56,"274",0,153.44000000000003,51,2021,12,26
SUP0170068,Productor,"2021-12-26",0.04,"274",0,10.96,51,2021,12,26
SUP0020009,Productor,"2021-12-13",0.44,"0.06",0,0.0264,50,2021,12,13
SUP0070043,Productor,"2021-12-13",0.4,"0.1",0,0.04000000000000001,50,2021,12,13
SUP0080045,Productor,"2021-12-13",0.4,"0.1",0,0.04000000000000001,50,2021,12,13
SUP0140044,Productor,"2021-12-13",0.46,"0.04",0,0.0184,50,2021,12,13
